id,poj_unicode,poj_input,kiplmj_unicode,kiplmj_input,hanlo_taibun_kiplmj,hoabun,from
202,phō͘ khì mo͘h,phoo7 khi3 mooh,phōo khì mooh,phoo7 khi3 mooh,抱去𢯾,寶可夢,匿名
203,bē-kham-tit hoân,be7-kham-tit hoan5,bē-kham-tit huân,be7-kham-tit huan5,袂堪得煩,不耐煩,匿名
204,Phīⁿ-khang-chiūⁿ,Phinn7-khang-chiunn7,Phīnn-khang-tsiūnn,Phinn7-khang-tsiunn7,鼻空癢,皮卡丘,Liz Lin
205,Miāu-kap-á-chéng-chí,Miau7-kap-a2-cheng2-chi2,Miāu-kap-á-tsíng-tsí,Miau7-kap-a2-tsing2-tsi2,妙蛤仔種子,妙蛙種子,Liz Lin
206,Miāu-kap-á-chháu,Miau7-kap-a2-chhau2,Miāu-kap-á-tsháu,Miau7-kap-a2-tshau2,妙蛤仔草,妙蛙草,Liz Lin
207,Miāu-kap-á-hoe,Miau7-kap-a2-hoe,Miāu-kap-á-hue,Miau7-kap-a2-hue,妙蛤仔花,妙蛙花,Liz Lin
208,Sió-hóe-liông,Sio2-hoe2-liong5,Sió-hué-liông,Sio2-hue2-liong5,小火龍,小火龍,Liz Lin
209,bīn-sek pe̍h-sún-sún,bin7-sek peh8-sun2-sun2,bīn-sik pe̍h-sún-sún,bin7-sik peh8-sun2-sun2,面色白恂恂,臉色慘白,薛丞宏
210,hoe pe̍h-sut-sut,hoe peh8-sut-sut,hue pe̍h-sut-sut,hue peh8-sut-sut,花白sut-sut,花很白,薛丞宏
211,í-á pe̍h sit-sit,i2-a2 peh8 sit-sit,í-á pe̍h sit-sit,i2-a2 peh8 sit-sit,椅仔白sit-sit,椅子很白,薛丞宏
212,chin giám-siâu,chin giam2-siau5,tsin giám-siâu,tsin giam2-siau5,真儼潲,討厭,Tiunn Hông-bîng
213,băng-só͘-khó͘,bang9-soo2-khoo2,ba̋ng-sóo-khóo,bang9-soo2-khoo2,ba̋ng-sóo-khóo,OK崩,Tsu Tsì-uí
214,iân-tâu,ian5-tau5,iân-tâu,ian5-tau5,緣投,帥,駱勁成
215,bah-phìⁿ-á,bah-phinn3-a2,bah-phìnn-á,bah-phinn3-a2,肉片仔,A片,匿名
216,kek bīn-chhiuⁿ,kek bin7-chhiunn,kik bīn-tshiunn,kik bin7-tshiunn,激面腔,擺臭臉,薛丞宏
217,kî-lîn-lo̍k,ki5-lin5-lok8,kî-lîn-lo̍k,ki5-lin5-lok8,麒麟鹿,長頸鹿,Fu-Hsuan Ju
218,sūn-sī,sun7-si7,sūn-sī,sun7-si7,順序,順序,匿名
219,Hóe-khióng-liông,Hoe2-khiong2-liong5,Hué-khióng-liông,Hue2-khiong2-liong5,火恐龍,火恐龍,Liz Lin
220,Phùn-hóe-liông,Phun3-hoe2-liong5,Phùn-hué-liông,Phun3-hue2-liong5,噴火龍,噴火龍,Liz Lin
221,Khah-mi-ku,Khah-mi-ku,Khah-mi-ku,Khah-mi-ku,卡咪龜,卡咪龜,Liz Lin
222,Chúi-chìⁿ-ku,Chui2-chinn3-ku,Tsuí-tsìnn-ku,Tsui2-tsinn3-ku,水箭龜,水箭龜,Liz Lin
223,Chheⁿ-chhì-mo͘-thâng,Chhenn-chhi3-moo-thang5,Tshenn-tshì-moo-thâng,Tshenn-tshi3-moo-thang5,青刺毛蟲,綠毛蟲,Liz Lin
224,Thih-kah-tāu,Thih-kah-tau7,Thih-kah-tāu,Thih-kah-tau7,鐵甲豆,鐵甲蛹,Liz Lin
225,Pa-tōa-ia̍h-á,Pa-toa7-iah8-a2,Pa-tuā-ia̍h-á,Pa-tua7-iah8-a2,巴大蛾仔,巴大蝴,Liz Lin
226,To̍k-kak-thâng,Tok8-kak-thang5,To̍k-kak-thâng,Tok8-kak-thang5,獨角蟲,獨角蟲,Liz Lin
227,Thih-khak-tāu,Thih-khak-tau7,Thih-khak-tāu,Thih-khak-tau7,鐵殼豆,鐵殼蛹,Liz Lin
228,Tōa-chiam-phang,Toa7-chiam-phang,Tuā-tsiam-phang,Tua7-tsiam-phang,大針蜂,大針蜂,Liz Lin
229,Pho-pho,Pho-pho,Pho-pho,Pho-pho,波波,波波,Liz Lin
230,Pí-pí-chiáu,Pi2-pi2-chiau2,Pí-pí-tsiáu,Pi2-pi2-tsiau2,比比鳥,比比鳥,Liz Lin
231,Tōa-pí-chiáu,Toa7-pi2-chiau2,Tuā-pí-tsiáu,Tua7-pi2-tsiau2,大比鳥,比雕,Liz Lin
232,Tōa-chhùi-chhiok,Toa7-chhui3-chhiok,Tuā-tshuì-tshiok,Tua7-tshui3-tshiok,大喙雀,大嘴雀,Liz Lin
233,A-poh-chôa,A-poh-choa5,A-poh-tsuâ,A-poh-tsua5,阿卜蛇,阿柏蛇,Liz Lin
234,A-poh-koài,A-poh-koai3,A-poh-kuài,A-poh-kuai3,阿卜怪,阿柏怪,Liz Lin
235,Lûi-khu,Lui5-khu,Luî-khu,Lui5-khu,雷丘,雷丘,Liz Lin
236,chhiú-bóe-la̍t/chhiú-bé-la̍t,chhiu2-boe2-lat8/chhiu2-be2-lat8,tshiú-bué-la̍t/tshiú-bé-la̍t,tshiu2-bue2-lat8/tshiu2-be2-lat8,手尾力,腕力,Ôo Siok-tsing
237,chiàn-kah-thâng,chian3-kah-thang5,tsiàn-kah-thâng,tsian3-kah-thang5,戰甲蟲,獨角仙,Justin Richard Leung
238,chhòng-siáⁿ,chhong3-siann2,tshòng-siánn,tshong3-siann2,創啥,衝啥,Ôo Siok-tsing
239,pòaⁿ-soaⁿ-tó͘,poann3-soann-too2,puànn-suann-tóo,puann3-suann-too2,半山肚,山腰,匿名
240,khì-gia̍p-ka,khi3-giap8-ka,khì-gia̍p-ka,khi3-giap8-ka,企業家,企業家,匿名
241,sūn-sū,sun7-su7,sūn-sū,sun7-su7,順序,順序,匿名
242,gē-su̍t-phín,ge7-sut8-phin2,gē-su̍t-phín,ge7-sut8-phin2,藝術品,藝術品,匿名
243,kong-bū-oân,kong-bu7-oan5,kong-bū-uân,kong-bu7-uan5,公務員,公務員,匿名
244,seng-bu̍t to-iūⁿ-sèng,seng-but8 to-iunn7-seng3,sing-bu̍t to-iūnn-sìng,sing-but8 to-iunn7-sing3,生物多樣性,生物多樣性,匿名
245,nî-siù,ni5-siu3,nî-siù,ni5-siu3,年獸,年獸,匿名
246,chio̍h-hó͘,chioh8-hoo2,tsio̍h-hóo,tsioh8-hoo2,石虎,石虎,匿名
247,hiòng-chiân kiâⁿ,hiong3-chian5 kiann5,hiòng-tsiân kiânn,hiong3-tsian5 kiann5,向前行,向前走,匿名
248,chian-pau,chian-pau,tsian-pau,tsian-pau,煎包,水煎包,匿名
249,chek-sî-thong,chek-si5-thong,tsik-sî-thong,tsik-si5-thong,即時通,即時通,匿名
250,sū-gia̍p-sòaⁿ,su7-giap8-soann3,sū-gia̍p-suànn,su7-giap8-suann3,事業線,事業線,匿名
251,sū-gia̍p-sûn,su7-giap8-sun5,sū-gia̍p-sûn,su7-giap8-sun5,事業巡,事業線,匿名
252,kè-sǹg-ki,ke3-sng3-ki,kè-sǹg-ki,ke3-sng3-ki,計算機,計算機,匿名
253,liap-kéng,liap-keng2,liap-kíng,liap-king2,攝襉,皺褶,匿名
254,pe̍h-chhat,peh8-chhat,pe̍h-tshat,peh8-tshat,白漆,立可白,匿名
255,chí-sàu-che,chi2-sau3-che,tsí-sàu-tse,tsi2-sau3-tse,止嗽劑,止咳劑,匿名
256,pháiⁿ-sńg,phainn2-sng2,pháinn-sńg,phainn2-sng2,歹耍,Python,匿名
257,si̍t,sit8,si̍t,sit8,翼,翅,匿名
258,káu-bóe/káu-bé,kau2-boe2/kau2-be2,káu-bué/káu-bé,kau2-bue2/kau2-be2,九尾,九尾,匿名
259,la̍k-bóe/la̍k-bé,lak8-boe2/lak8-be2,la̍k-bué/la̍k-bé,lak8-bue2/lak8-be2,六尾,六尾,匿名
260,phî-phî,phi5-phi5,phî-phî,phi5-phi5,皮皮,皮皮,匿名
261,chéng-kah-chián-á,cheng2-kah-chian2-a2,tsíng-kah-tsián-á,tsing2-kah-tsian2-a2,指甲剪仔,指甲剪,匿名
262,saⁿ-kha khiàm chi̍t-kha,sann-kha khiam3 chit8-kha,sann-kha khiàm tsi̍t-kha,sann-kha khiam3 tsit8-kha,三跤欠一跤,三缺一,匿名
263,chéng-kah-iû,cheng2-kah-iu5,tsíng-kah-iû,tsing2-kah-iu5,指甲油,指甲油,匿名
264,chia̍h pòaⁿ-tàu-á,chiah8 poann3-tau3-a2,tsia̍h puànn-tàu-á,tsiah8 puann3-tau3-a2,食半晝仔,早午餐,匿名
265,tèng-chóa-ki,teng3-choa2-ki,tìng-tsuá-ki,ting3-tsua2-ki,釘紙機,釘書機,匿名
266,lâng-kang phah-chéng,lang5-kang phah-cheng2,lâng-kang phah-tsíng,lang5-kang phah-tsing2,人工拍種,人工授精,邱文錫
267,ian-chi,ian-chi,ian-tsi,ian-tsi,胭脂,唇膏,匿名
268,gá-suh-tân,ga2-suh-tan5,gá-suh-tân,ga2-suh-tan5,瓦斯彈,瓦斯彈,匿名
269,iû-mī,iu5-mi7,iû-mī,iu5-mi7,油麵,油麵,匿名
270,tē-khè,te7-khe3,tē-khè,te7-khe3,地契,地契,匿名
271,thiu-hoeh/thiu-huih,thiu-hoeh/thiu-huih,thiu-hueh/thiu-huih,thiu-hueh/thiu-huih,抽血,抽血,匿名
272,thàu-lām--ê,thau3-lam7--e5,thàu-lām--ê,thau3-lam7--e5,透濫的,混血兒,Lîm Tshong-bîng
273,koan-lo̍h-im,koan-loh8-im,kuan-lo̍h-im,kuan-loh8-im,關落陰,觀落陰,匿名
274,kha-khiau,kha-khiau,kha-khiau,kha-khiau,跤曲,膝窩,匿名
275,chéng-kah-iû,cheng2-kah-iu5,tsíng-kah-iû,tsing2-kah-iu5,指甲油,指甲油,匿名
276,tēng piān-tong,teng7 pian7-tong,tīng piān-tong,ting7 pian7-tong,訂便當,訂便當,匿名
277,hèng-khùn bâ,heng3-khun3 ba5,hìng-khùn bâ,hing3-khun3 ba5,興睏貓,催眠貘,匿名
278,o͘-lián,oo-lian2,oo-lián,oo-lian2,黑輪,關東煮,匿名
279,"Tâi téng saⁿ hun-cheng, tâi kha cha̍p nî kong","Tai5 teng2 sann hun-cheng, tai5 kha chap8 ni5 kong","Tâi tíng sann hun-tsing, tâi kha tsa̍p nî kong","Tai5 ting2 sann hun-tsing, tai5 kha tsap8 ni5 kong",台頂三分鐘，台跤十年功,臺上三分鐘，臺下十年功,匿名
280,oāⁿ-thiap--ê,oann7-thiap--e5,uānn-thiap--ê,uann7-thiap--e5,換帖的,死黨,匿名
281,siān-thâng-á,sian7-thang5-a2,siān-thâng-á,sian7-thang5-a2,蟮蟲仔,守宮,薛丞宏
282,bián kheh-khì,bian2 kheh-khi3,bián kheh-khì,bian2 kheh-khi3,免客氣,不客氣,匿名
283,lún--chi̍t-ē,lun2--chit8-e7,lún--tsi̍t-ē,lun2--tsit8-e7,忍一下,忍耐一下,匿名
284,liông-kut/lêng-kut,liong5-kut/leng5-kut,liông-kut/lîng-kut,liong5-kut/ling5-kut,龍骨,脊椎,匿名
285,kip-chín-sek,kip-chin2-sek,kip-tsín-sik,kip-tsin2-sik,急診室,急診室,匿名
286,kha-aū-tó͘,kha-au7-too2,kha-āu-tóo,kha-au7-too2,跤後肚,小腿,匿名
287,keng-keh,keng-keh,king-keh,king-keh,間格,格局,匿名
288,poe-phiat-á-kiû/pe-phiat-á-kiû,poe-phiat-a2-kiu5/pe-phiat-a2-kiu5,pue-phiat-á-kiû/pe-phiat-á-kiû,pue-phiat-a2-kiu5/pe-phiat-a2-kiu5,飛𥐵仔球,飛碟球,匿名
289,mài-koh tòng-lō͘,mai3-koh tong3-loo7,mài-koh tòng-lōo,mai3-koh tong3-loo7,莫閣擋路,麥當勞,Lîm Tshong-bîng
290,chhiau-im-bi̍t-pô,chhiau-im-bit8-po5,tshiau-im-bi̍t-pô,tshiau-im-bit8-po5,超音密婆,超音蝠,匿名
291,khé-sih,khe2-sih,khé-sih,khe2-sih,Khé-sih,凱西,匿名
292,lu̍t sian,lut8 sian,lu̍t sian,lut8 sian,甪鉎,去角質,匿名
293,góa aì--lí,goa2 ai3--li2,guá ài--lí,gua2 ai3--li2,我愛你,我愛你,匿名
294,koaⁿ ngē hòa,koann nge7 hoa3,kuann ngē huà,kuann nge7 hua3,肝硬化,肝硬化,匿名
295,chha-sio,chha-sio,tsha-sio,tsha-sio,叉燒,叉燒,匿名
296,chù-bûn,chu3-bun5,tsù-bûn,tsu3-bun5,注文,預約,sui2@gmail.com
297,ī-iok,i7-iok,ī-iok,i7-iok,預約,預約,sui2@gmail.com
298,phū-lōng-kòng,phu7-long7-kong3,phū-lōng-kòng,phu7-long7-kong3,phū-lōng-kòng,噗嚨共,匿名
299,ek-chhiah-sng,ek-chhiah-sng,ik-tshiah-sng,ik-tshiah-sng,溢刺酸,胃赤酸,匿名
300,theh-puh,theh-puh,theh-puh,theh-puh,theh-puh,膠帶,匿名
301,Phi-thi-thi,Phi-thi-thi,Phi-thi-thi,Phi-thi-thi,PTT,批踢踢,匿名
302,má-chih,ma2-chih,má-tsih,ma2-tsih,麻吉,死黨,ShangKuan Liang-chih
303,nn̄g-á,nng7-a2,nn̄g-á,nng7-a2,卵仔,蛋蛋,匿名
304,kĭ-mo͘-jī,ki9-moo-ji7,ki̋-moo-jī,ki9-moo-ji7,奇檬字,emoji,匿名
305,tiān-khì-chhí,tian7-khi3-chhi2,tiān-khì-tshí,tian7-khi3-tshi2,電氣鼠,皮卡丘,匿名
306,hóng-á-kiáⁿ,hong2-a2-kiann2,hóng-á-kiánn,hong2-a2-kiann2,仿仔囝,混血兒,Tony  Tsai
307,Bē-tâng-lô,Be7-tang5-lo5,Bē-tâng-lô,Be7-tang5-lo5,賣銅鑼,麥當勞,Ethan Tan
308,lak-tē-á-koài-siù,lak-te7-a2-koai3-siu3,lak-tē-á-kuài-siù,lak-te7-a2-kuai3-siu3,橐袋仔怪獸,寶可夢,匿名
309,pó-pòe-kiû,po2-poe3-kiu5,pó-puè-kiû,po2-pue3-kiu5,寶貝球,寶貝球,匿名
310,Má-tong-lô͘,Ma2-tong-loo5,Má-tong-lôo,Ma2-tong-loo5,媽當奴,麥當勞,匿名
311,làng-káng,lang3-kang2,làng-káng,lang3-kang2,làng-káng,落跑,匿名
312,tiâu--tio̍h,tiau5--tioh8,tiâu--tio̍h,tiau5--tioh8,牢著,上癮,匿名
315,án-ne-siⁿ,an2-ne-sinn,án-ne-sinn,an2-ne-sinn,按呢生,這樣子,匿名
316,giâ-chio̍h-lián,gia5-chioh8-lian2,giâ-tsio̍h-lián,gia5-tsioh8-lian2,夯石輪,舉重,匿名
318,chún-chò,chun2-cho3,tsún-tsò,tsun2-tso3,準做,假設,匿名
319,Só͘-í góa kóng hit-ê sò͘-suh-leh?,Soo2-i2 goa2 kong2 hit-e5 soo3-suh-leh?,Sóo-í guá kóng hit-ê sòo-suh-leh?,Soo2-i2 gua2 kong2 hit-e5 soo3-suh-leh?,所以我講彼咧sòo-suh咧？,所以我說那個醬汁呢？,Usiong Koo
320,Pó-táu,Po2-tau2,Pó-táu,Po2-tau2,寶斗,北斗,薛丞宏
321,Pó-táu-tìn,Po2-tau2-tin3,Pó-táu-tìn,Po2-tau2-tin3,寶斗鎮,北斗鎮,薛丞宏
322,Tōa-chng,Toa7-chng,Tuā-tsng,Tua7-tsng,大庄,大村,匿名
323,Tōa-chng-hiong,Toa7-chng-hiong,Tuā-tsng-hiong,Tua7-tsng-hiong,大庄鄉,大村鄉,匿名
324,chhân-iûⁿ,chhan5-iunn5,tshân-iûnn,tshan5-iunn5,田洋,一片田,匿名
325,chhân-iûⁿ-á,chhan5-iunn5-a2,tshân-iûnn-á,tshan5-iunn5-a2,田洋仔,一片田,匿名
326,Tá-káu,Ta2-kau2,Tá-káu,Ta2-kau2,打狗,高雄,匿名
327,Táⁿ-niau,Tann2-niau,Tánn-niau,Tann2-niau,打貓,民雄,匿名
328,Phî-khah-khu,Phi5-khah-khu,Phî-khah-khu,Phi5-khah-khu,皮卡丘,皮卡丘,匿名
329,khiú-lêng-á/giú-lêng-á,khiu2-leng5-a2/giu2-leng5-a2,khiú-lîng-á/giú-lîng-á,khiu2-ling5-a2/giu2-ling5-a2,搝鈴仔,扯鈴,柯仲恩
330,kut-thâu hâm-sau,kut-thau5 ham5-sau,kut-thâu hâm-sau,kut-thau5 ham5-sau,骨頭含梢,骨質疏鬆症,柯仲恩
331,kut-thâu phàⁿ,kut-thau5 phann3,kut-thâu phànn,kut-thau5 phann3,骨頭冇,骨質疏鬆症,柯仲恩
332,sim-koaⁿ-thâu pho̍k-pho̍k-chhéng/sim-koaⁿ-thâu pho̍k-pho̍k-chháiⁿ,sim-koann-thau5 phok8-phok8-chheng2/sim-koann-thau5 phok8-phok8-chhainn2,sim-kuann-thâu pho̍k-pho̍k-tshíng/sim-kuann-thâu pho̍k-pho̍k-tsháinn,sim-kuann-thau5 phok8-phok8-tshing2/sim-kuann-thau5 phok8-phok8-tshainn2,心肝頭噗噗惝,心悸,柯仲恩
333,Khah-pí-siù,Khah-pi2-siu3,Khah-pí-siù,Khah-pi2-siu3,卡比獸,卡比獸,匿名
334,lo̍k-kô͘-á-moâi/lo̍k-kô͘-á-bê,lok8-koo5-a2-moai5/lok8-koo5-a2-be5,lo̍k-kôo-á-muâi/lo̍k-kôo-á-bê,lok8-koo5-a2-muai5/lok8-koo5-a2-be5,漉糊糜,臭臭泥,Tiunn Hông-bîng
335,siáⁿ-mih-mi̍h-kiāⁿ,siann2-mih-mih8-kiann7,siánn-mih-mi̍h-kiānn,siann2-mih-mih8-kiann7,啥物物件,什麼東西,薛丞宏
336,bē-kiàn-siàu/bōe-kiàn-siàu,be7-kian3-siau3/boe7-kian3-siau3,bē-kiàn-siàu/buē-kiàn-siàu,be7-kian3-siau3/bue7-kian3-siau3,袂見笑,無恥,薛丞宏
337,tiān-thui,tian7-thui,tiān-thui,tian7-thui,電梯,手扶梯,匿名
338,liân-lo̍k-phō͘-á,lian5-lok8-phoo7-a2,liân-lo̍k-phōo-á,lian5-lok8-phoo7-a2,聯絡簿,聯絡簿,匿名
339,tu̍h-phòa bông-tiám,tuh8-phoa3 bong5-tiam2,tu̍h-phuà bông-tiám,tuh8-phua3 bong5-tiam2,揬破盲點,突破盲點,匿名
340,iú-gî,iu2-gi5,iú-gî,iu2-gi5,友誼,友誼,匿名
341,bah-sò,bah-so3,bah-sò,bah-so3,肉燥,肉燥,匿名
342,kiaⁿ pháiⁿ-lâng,kiann phainn2-lang5,kiann pháinn-lâng,kiann phainn2-lang5,驚歹人,怕壞人,薛丞宏
343,ti̍t-chiap-chhī,tit8-chiap-chhi7,ti̍t-tsiap-tshī,tit8-tsiap-tshi7,直接飼,親餵,匿名
344,sèng-khì-koan,seng3-khi3-koan,sìng-khì-kuan,sing3-khi3-kuan,性器官,性器官,Justin Richard Leung
345,lān-chiáu-mo͘/ chi-bai-mo͘,lan7-chiau2-moo/ chi-bai-moo,lān-tsiáu-moo/ tsi-bai-moo,lan7-tsiau2-moo/ tsi-bai-moo,𡳞鳥毛/膣屄毛,陰毛,匿名
346,phak leh mā  tio̍h-chhèng,phak leh ma7  tioh8-chheng3,phak leh mā  tio̍h-tshìng,phak leh ma7  tioh8-tshing3,仆咧嘛著銃,躺著也中槍,匿名
347,ka-kī chhī,ka-ki7 chhi7,ka-kī tshī,ka-ki7 tshi7,家己飼,親餵,匿名
348,lí leh kóng siáⁿ siâu,li2 leh kong2 siann2 siau5,lí leh kóng siánn siâu,li2 leh kong2 siann2 siau5,你咧講啥潲,你勒工沙小,匿名
349,A-mí-pa-sèng chhiah-lī,A-mi2-pa-seng3 chhiah-li7,A-mí-pa-sìng tshiah-lī,A-mi2-pa-sing3 tshiah-li7,amoeba性赤痢,阿米巴性痢疾,柯仲恩
350,chu-mi̍h-ki,chu-mih8-ki,tsu-mi̍h-ki,tsu-mih8-ki,輜物機,積木,匿名
351,ba̍k-thâu kat,bak8-thau5 kat,ba̍k-thâu kat,bak8-thau5 kat,目頭結,眉頭一皺,Ôo Siok-tsing
352,chia̍h-pá bē,chiah8-pa2 be7,tsia̍h-pá bē,tsiah8-pa2 be7,食飽袂,你好嗎,Ôo Siok-tsing
353,kiaⁿ kah gōng--khì,kiann kah gong7--khi3,kiann kah gōng--khì,kiann kah gong7--khi3,驚甲戇去,驚呆,匿名
354,iâu-khòng-ki,iau5-khong3-ki,iâu-khòng-ki,iau5-khong3-ki,遙控機,無人機,匿名
356,su-pú-lín-guh,su-pu2-lin2-guh,su-pú-lín-guh,su-pu2-lin2-guh,su-pú-lín-guh,彈簧,E-Ping Rau
357,ún-hêng/ín-hêng,un2-heng5/in2-heng5,ún-hîng/ín-hîng,un2-hing5/in2-hing5,隱形,隱形,E-Ping Rau
358,pún-uī,pun2-ui7,pún-uī,pun2-ui7,本位,本位,Liz Lin
359,chián-jiông,chian2-jiong5,tsián-jiông,tsian2-jiong5,剪絨,康乃馨,Liz Lin
360,phah-teng-á,phah-teng-a2,phah-ting-á,phah-ting-a2,拍釘仔,炒飯,Liz Lin
361,pí hàm-kiàⁿ koh-khah hàm,pi2 ham3-kiann3 koh-khah ham3,pí hàm-kiànn koh-khah hàm,pi2 ham3-kiann3 koh-khah ham3,比譀鏡閣較譀,比扯鈴還扯,Liz Lin
362,chúi-ge̍k,chui2-gek8,tsuí-gi̍k,tsui2-gik8,水逆,水逆,莊銘彥
363,chúi-tò,chui2-to3,tsuí-tò,tsui2-to3,水倒,水逆,莊銘彥
364,o͘-tó͘-bái,oo-too2-bai2,oo-tóo-bái,oo-too2-bai2,oo-tóo-bái,摩托車,莊銘彥
365,o͘-tó͘-bái,oo-too2-bai2,oo-tóo-bái,oo-too2-bai2,烏肚䆀,摩托車,莊銘彥
366,kí-tiong-cháiⁿ,ki2-tiong-chainn2,kí-tiong-tsáinn,ki2-tiong-tsainn2,指中指,比中指,Liz Lin
367,phùi-that-á,phui3-that-a2,phuì-that-á,phui3-that-a2,屁窒仔,小屁孩,Jou Ying-cheng
368,ok-chit,ok-chit,ok-tsit,ok-tsit,惡質,惡質,莊銘彥
369,chhùi-kháu-oē,chhui3-khau2-oe7,tshuì-kháu-uē,tshui3-khau2-ue7,喙口話,口頭禪,莊銘彥
370,oân-á,oan5-a2,uân-á,uan5-a2,uân-á,還是,莊銘彥
371,khí-khì,khi2-khi3,khí-khì,khi2-khi3,起去,上去,莊銘彥
372,--khih-lih,--khih-lih,--khih-lih,--khih-lih,起去,上去,莊銘彥
373,lūn-chin,lun7-chin,lūn-tsin,lun7-tsin,論真,其實,Jou Ying-cheng
374,sí-si,si2-si,sí-si,si2-si,死屍,死屍,Liz Lin
375,sńg-ī,sng2-i7,sńg-ī,sng2-i7,耍奕,遊戲,莊銘彥
376,ī-sńg,i7-sng2,ī-sńg,i7-sng2,奕耍,遊戲,莊銘彥
377,toh-téng sńg-ī,toh-teng2 sng2-i7,toh-tíng sńg-ī,toh-ting2 sng2-i7,桌頂耍奕,桌遊,莊銘彥
378,uì-tông,ui3-tong5,uì-tông,ui3-tong5,畏同,恐同,Liz Lin
379,kiau-bân,kiau-ban5,kiau-bân,kiau-ban5,嬌蠻,傲嬌,Liz Lin
380,Lo-lá-é-bōng,Lo-la2-e2-bong7,Lo-lá-é-bōng,Lo-la2-e2-bong7,Doraemon,哆啦A夢,莊銘彥
381,khui-chhùi ham lia̍p-lia̍p chhàu,khui-chhui3 ham liap8-liap8 chhau3,khui-tshuì ham lia̍p-lia̍p tshàu,khui-tshui3 ham liap8-liap8 tshau3,開喙蚶粒粒臭,吐不出象牙,Liz Lin
382,tò-pān,to3-pan7,tò-pān,to3-pan7,倒扮,反串,Liz Lin
383,hia̍p-koh-sóng,hiap8-koh-song2,hia̍p-koh-sóng,hiap8-koh-song2,拹閣爽,黑客松,Liz Lin
384,hoat-íⁿ-tián,hoat-inn2-tian2,huat-ínn-tián,huat-inn2-tian2,發穎典,萌典,Liz Lin
385,hóe-hô͘,hoe2-hoo5,hué-hôo,hue2-hoo5,火狐,火狐,Liz Lin
386,tòng-pha̍k-ko,tong3-phak8-ko,tòng-pha̍k-ko,tong3-phak8-ko,擋曝膏,防曬乳,Liz Lin
387,hông-pha̍k-ko,hong5-phak8-ko,hông-pha̍k-ko,hong5-phak8-ko,防曝膏,防曬乳,Liz Lin
388,tán-oat,tan2-oat,tán-uat,tan2-uat,等斡,待轉,Liz Lin
389,tòng-pha̍k-ko,tong3-phak8-ko,tòng-pha̍k-ko,tong3-phak8-ko,擋曝膏,防曬乳,匿名
390,Thah-lô-pâi,Thah-lo5-pai5,Thah-lô-pâi,Thah-lo5-pai5,塔羅牌,塔羅牌,匿名
391,khēng,kheng7,khīng,khing7,虹,彩虹,匿名
392,phah-jī-pôaⁿ,phah-ji7-poann5,phah-jī-puânn,phah-ji7-puann5,拍字盤,鍵盤,匿名
393,khí-pôaⁿ,khi2-poann5,khí-puânn,khi2-puann5,key盤,鍵盤,匿名
394,làu-khang-chōa,lau3-khang-choa7,làu-khang-tsuā,lau3-khang-tsua7,落空逝,撲空,匿名
395,phō khì bong,pho7 khi3 bong,phō khì bong,pho7 khi3 bong,抱去摸,Pokémon GO,匿名
396,phō khì bong,pho7 khi3 bong,phō khì bong,pho7 khi3 bong,抱去摸,寶可夢,匿名
397,chia̍h pn̄g,chiah8 png7,tsia̍h pn̄g,tsiah8 png7,食飯,吃飯,匿名
398,tōa-tò͘-muh,toa7-too3-muh,tuā-tòo-muh,tua7-too3-muh,大tòo-muh,巨蛋,潘科元
399,oân-kong-koán,oan5-kong-koan2,uân-kong-kuán,uan5-kong-kuan2,圓栱館,巨蛋,潘科元
400,Pó-khó-bōng,Po2-kho2-bong7,Pó-khó-bōng,Po2-kho2-bong7,寶可夢,寶可夢,匿名
401,khah bān--leh,khah ban7--leh,khah bān--leh,khah ban7--leh,較慢咧,慢一點,匿名
402,sí-khì--ah,si2-khi3--ah,sí-khì--ah,si2-khi3--ah,死去矣,死掉了,匿名
403,tó͘-muh,too2-muh,tóo-muh,too2-muh,tóo-muh,巨蛋,匿名
404,pì-kiat,pi3-kiat,pì-kiat,pi3-kiat,祕結,便祕,匿名
405,Pho͘-ké-mo͘-ǹg,Phoo-ke2-moo-ng3,Phoo-ké-moo-ǹg,Phoo-ke2-moo-ng3,Phoo-ké-moo-ǹg,寶可夢,匿名
406,mái-khuh,mai2-khuh,mái-khuh,mai2-khuh,mái-khuh,麥克風,匿名
407,chiú-cheng tiòng-to̍k,chiu2-cheng tiong3-tok8,tsiú-tsing tiòng-to̍k,tsiu2-tsing tiong3-tok8,酒精中毒,酒精中毒,匿名
408,kin-bah,kin-bah,kin-bah,kin-bah,筋肉,肌肉,匿名
409,péng-pak,peng2-pak,píng-pak,ping2-pak,反腹,噁心,Liz Lin
410,thiàⁿ-hong,thiann3-hong,thiànn-hong,thiann3-hong,疼風,痛風,Liz Lin
411,ê-á,e5-a2,ê-á,e5-a2,鞋仔,鞋子,Liz Lin
412,chhì-juh,chhi3-juh,tshì-juh,tshi3-juh,tshì-juh,乳酪,匿名
413,siat-kè-su,siat-ke3-su,siat-kè-su,siat-ke3-su,設計師,設計師,匿名
414,tūi-tn̂g,tui7-tng5,tuī-tn̂g,tui7-tng5,墜腸,疝氣,匿名
415,loān-sú-siūⁿ,loan7-su2-siunn7,luān-sú-siūnn,luan7-su2-siunn7,亂使想,天馬行空,匿名
416,chāu lân-san--ê,chau7 lan5-san--e5,tsāu lân-san--ê,tsau7 lan5-san--e5,找零星的,找零,匿名
